Movie Name,Rating,Votes,Duration
Officer Black Belt,6.9,10000.0,Unknown
Sebastian,6.7,2700.0,Unknown
Drawing Closer,7.7,3600.0,Unknown
Rez Ball,6.4,2900.0,Unknown
Bang Bang,6.1,588000.0,Unknown
The Fabulous Four,4.9,2000.0,Unknown
Girl Haunts Boy,6.3,3900.0,Unknown
Brats,6.5,7400.0,Unknown
"Oh, Canada",5.6,3000.0,Unknown
The Beldham,5.1,991000.0,Unknown
The Supremes at Earl's All-You-Can-Eat,6.5,1700.0,Unknown
Eagle Eyes,4.7,3500.0,Unknown
Peacock,7.1,2100.0,Unknown
The Severed Sun,5.0,772000.0,Unknown
Luther: Never Too Much,8.0,1100.0,Unknown
That Christmas,6.8,20000.0,Unknown
Relative Control,7.0,65000.0,Unknown
Paul Anka: His Way,7.4,183000.0,Unknown
Lollipop,7.1,271000.0,Unknown
Vina: Before 7 Days,5.4,758000.0,Unknown
The Gutter,5.4,720000.0,Unknown
Witchboard,5.1,2900.0,Unknown
Space Cadet,5.0,11000.0,Unknown
Intercepted,7.9,694000.0,Unknown
Megamind vs. The Doom Syndicate,2.4,6200.0,Unknown
Amaran,8.1,24000.0,Unknown
Winnie-the-Pooh: Blood and Honey 2,4.6,13000.0,Unknown
The Exiles,6.3,327000.0,Unknown
The Lost Children,7.0,3500.0,Unknown
The Front Room,4.7,6700.0,Unknown
Lights Out,4.9,2000.0,Unknown
The Commandant's Shadow,7.4,1300.0,Unknown
Hold Your Breath,5.3,9900.0,Unknown
The Astronaut Lovers,7.1,1600.0,Unknown
One More Shot,5.4,4300.0,Unknown
French Girl,5.5,3200.0,Unknown
The Tiger's Apprentice,5.8,2400.0,Unknown
Billy,7.5,17000.0,Unknown
The Other Way Around,6.4,2100.0,Unknown
Pretty Teacher,4.7,746000.0,Unknown
Guns & Moses,5.4,916000.0,Unknown
Bad Shabbos,6.4,1500.0,Unknown
Crossing,7.4,6500.0,Unknown
Black Box Diaries,7.5,4400.0,Unknown
Lick,6.1,1300.0,Unknown
Midas Man,6.4,2100.0,Unknown
Parvulos,6.4,604000.0,Unknown
Went Up the Hill,5.3,484000.0,Unknown
Sallywood,7.5,86000.0,Unknown
Griffin in Summer,6.8,1100.0,Unknown
Following,6.5,1800.0,Unknown
All That We Love,6.2,253000.0,Unknown
Players,5.7,13000.0,Unknown
Inside,6.4,1300.0,Unknown
Stree 2: Sarkate Ka Aatank,6.9,46000.0,Unknown
The Balconettes,5.8,2600.0,Unknown
Bhakshak,7.2,7500.0,Unknown
Addition,7.4,108000.0,Unknown
The Visitor,3.9,533000.0,Unknown
Fighter,6.2,54000.0,Unknown
Push,4.6,1000.0,Unknown
Babes,6.3,7100.0,Unknown
Down the Rabbit Hole,5.6,613000.0,Unknown
Aliens Expanded,8.1,831000.0,Unknown
Motel Destino,6.5,2700.0,Unknown
Duchess,4.6,2000.0,Unknown
Queen of Bones,4.8,1100.0,Unknown
High Tide,6.3,1300.0,Unknown
The Colors Within,7.0,1700.0,Unknown
Double or Nothing,6.8,39000.0,Unknown
Sharp Corner,5.9,4600.0,Unknown
Hounds of War,4.6,2400.0,Unknown
Holy Cow,7.0,4300.0,Unknown
The Lost Daughter,5.2,446000.0,Unknown
Love Game,6.4,62000.0,Unknown
A Desert,5.5,1200.0,Unknown
Pushpa: The Rule - Part 2,6.1,66000.0,Unknown
A Bronx Tale: The Original One Man Show,8.0,67000.0,Unknown
Something in the Water,4.1,5700.0,Unknown
Le dernier souffle,6.7,526000.0,Unknown
Haikyu!! The Dumpster Battle,7.7,7700.0,Unknown
Half Baked: Totally High,4.6,413000.0,Unknown
Siddharth Roy,6.2,3000.0,Unknown
The Most Precious of Cargoes,7.1,2200.0,Unknown
How to Date Billy Walsh,5.2,4300.0,Unknown
Levels,5.0,2000.0,Unknown
Family Pack,5.5,11000.0,Unknown
Caught by the Tides,6.7,2500.0,Unknown
The Children's Train,7.4,9700.0,Unknown
